Dataset,Number,classes,normal,Ntra,Ntes,A5tra,A5tes,A1tra,A1tes,Atra,Ates,5% ADSL,5% ADSL sd,5% Hynd,5% Hynd sd,5% extract,5% extract sd,1% ADSL,1% ADSL sd,1% Hynd,1% Hynd sd,1% extract,1% extract sd,ADSL,ADSL sd,Hynd,Hynd sd,extract,extract sd,ADSLbest,ADSLbest sd
Adiac,781,37,9,16,4,1,760,0,761,0,761,0.95,0.05,0.7,0.13,0.86,0.16,0.99,0.06,1,0.13,0.94,0.09,0.99,0.1,0.94,0.09,0.94,0.09,0.88,0.09
ArrowHead,211,3,2,52,13,3,143,1,145,0,146,0.64,0.03,0.6,0.06,0.59,0.03,0.62,0.03,0.56,0.05,0.55,0.04,0.59,0,0.59,0.05,0.57,0.02,0.65,0.03
Beef,60,5,1,10,2,0,48,0,48,0,48,0.73,0.12,0.52,0.19,0.56,0.12,0.59,0.15,0.52,0.18,0.52,0.13,0.57,0.15,0.52,0.2,0.71,0.18,0.57,0.15
BeetleFly,40,2,1,16,4,1,19,0,20,0,20,0.84,0.08,0.83,0.21,0.8,0.08,0.94,0.08,0.85,0.12,0.7,0.06,0.9,0.08,0.71,0.15,0.72,0.07,0.86,0.09
BirdChicken,40,2,1,16,4,1,19,0,20,0,20,0.79,0.09,0.66,0.1,0.87,0.05,0.66,0.11,0.69,0.12,0.88,0.12,0.76,0.13,0.79,0.07,0.86,0.08,0.85,0.15
CBF,930,3,2,248,62,12,608,2,618,0,620,0.68,0.03,0.67,0.07,0.73,0.04,0.65,0.01,0.65,0.05,0.7,0.02,0.8,0.04,0.62,0.05,0.67,0.02,0.74,0.03
ChlorineConcentration,4307,3,1,800,200,40,3267,8,3299,1,3306,0.47,0.01,0.47,0.01,0.47,0.01,0.49,0,0.48,0.01,0.49,0.01,0.5,0,0.48,0.01,0.5,0,0.48,0.01
Coffee,56,2,0,23,6,1,26,0,27,0,27,0.73,0.05,0.81,0.11,0.68,0.09,0.81,0.03,0.9,0.08,0.62,0.06,0.78,0.05,0.89,0.06,0.62,0.06,0.84,0.04
ECG200,200,2,1,54,13,3,130,1,132,0,133,0.47,0.04,0.5,0.07,0.51,0.05,0.48,0.04,0.51,0.07,0.52,0.02,0.5,0.03,0.49,0.05,0.51,0.02,0.45,0.04
ECGFiveDays,884,2,1,354,88,18,424,4,438,0,442,0.86,0.01,0.56,0.06,0.63,0.03,0.8,0.16,0.57,0.07,0.52,0.05,0.74,0.09,0.59,0.04,0.5,0.02,0.94,0.11
FaceFour,112,4,3,23,6,1,82,0,83,0,83,0.88,0.11,0.61,0.09,0.89,0.04,0.9,0.05,0.62,0.09,0.68,0.07,0.9,0.1,0.57,0.09,0.69,0.11,0.94,0.1
GunPoint,200,2,1,80,20,4,96,1,99,0,100,0.68,0.04,0.68,0.05,0.75,0.03,0.68,0.06,0.62,0.05,0.66,0.05,0.64,0.04,0.58,0.06,0.6,0.01,0.75,0.03
Ham,214,2,1,82,21,4,107,1,110,0,111,0.5,0.03,0.49,0.04,0.47,0.03,0.5,0.03,0.52,0.04,0.5,0.01,0.5,0.01,0.52,0.02,0.5,0.02,0.5,0.02
Herring,128,2,1,62,15,3,48,1,50,0,51,0.49,0.04,0.48,0.05,0.49,0.04,0.49,0.02,0.49,0.02,0.48,0.03,0.5,0,0.49,0.03,0.5,0.01,0.52,0.02
Lightning2,121,2,1,38,10,2,71,0,73,0,73,0.5,0.07,0.59,0.06,0.44,0.04,0.51,0.05,0.55,0.06,0.5,0.03,0.53,0.05,0.6,0.02,0.5,0.02,0.63,0.07
Lightning7,143,7,3,15,4,1,123,0,124,0,124,0.68,0.07,0.74,0.08,0.74,0.15,0.75,0.1,0.79,0.12,0.74,0.08,0.73,0.11,0.69,0.16,0.7,0.05,0.72,0.1
Meat,120,3,2,32,8,2,78,0,80,0,80,0.87,0.05,0.92,0.11,0.84,0.09,0.9,0.01,0.9,0.12,0.62,0.11,0.9,0.01,0.91,0.13,0.61,0.14,1,0.04
MedicalImages,1141,10,5,36,9,2,1094,0,1096,0,1096,0.83,0.05,0.88,0.05,0.72,0.05,0.89,0.03,0.93,0.07,0.73,0.03,0.88,0.03,0.93,0.04,0.72,0.05,0.9,0.03
MoteStrain,1272,2,1,548,137,27,560,5,582,1,586,0.71,0.03,0.58,0.03,0.7,0.01,0.61,0.01,0.6,0.03,0.59,0.01,0.57,0.01,0.61,0.02,0.57,0.02,0.74,0.01
Plane,210,7,5,24,6,1,179,0,180,0,180,1,0.04,0.85,0.11,0.96,0.07,1,0.04,0.96,0.08,1,0.06,1,0.04,1,0.04,1,0.06,1,0.04
Strawberry,983,2,1,281,70,14,618,3,629,0,632,0.67,0.02,0.7,0.02,0.64,0.01,0.64,0.01,0.67,0.01,0.54,0.01,0.59,0.01,0.65,0.03,0.53,0.01,0.77,0.03
Symbols,1020,6,6,134,33,7,846,1,852,0,853,0.95,0.03,0.73,0.04,0.92,0.04,0.9,0.03,0.75,0.08,0.92,0.05,0.94,0.01,0.86,0.12,0.89,0.04,0.96,0.02
ToeSegmentation1,268,2,0,112,28,6,122,1,127,0,128,0.84,0.03,0.63,0.04,0.79,0.03,0.82,0.02,0.62,0.03,0.68,0.03,0.83,0.01,0.59,0.03,0.67,0.04,0.95,0.01
ToeSegmentation2,166,2,0,99,25,5,37,1,41,0,42,0.8,0.1,0.61,0.04,0.84,0.04,0.68,0.06,0.6,0.04,0.79,0.03,0.72,0.03,0.6,0.04,0.76,0.02,0.88,0.02
Trace,200,4,1,40,10,2,148,0,150,0,150,1,0.02,0.9,0.08,1,0,1,0.03,0.9,0.1,1,0.02,1,0.04,0.95,0.09,1,0.02,0.95,0.06
TwoLeadECG,1162,2,1,465,116,23,558,5,576,0,581,0.81,0.02,0.65,0.01,0.7,0.01,0.79,0.02,0.62,0.01,0.64,0.01,0.63,0.05,0.61,0.01,0.62,0,0.89,0.01
Wafer,7164,2,1,610,152,30,6372,6,6396,1,6401,0.53,0.01,0.55,0.06,0.57,0.01,0.49,0,0.55,0.04,0.49,0,0.5,0,0.51,0.02,0.5,0,0.56,0.02
Wine,111,2,1,46,11,2,52,0,54,0,54,0.53,0.02,0.48,0.05,0.48,0.06,0.53,0.03,0.52,0.09,0.53,0,0.53,0.02,0.56,0.04,0.53,0.01,0.5,0.04
